Target,RMSE_Train,RMSE_Test,R2_Train,R2_Test
M_0,232222.5426439044,357786.0913562739,0.9951893091201782,0.9899695515632629
M_1c,127058.41277144934,179940.46446533364,0.7621321678161621,0.6009395122528076
M_1s,123327.8754540108,178433.49210280002,0.7828065752983093,0.6178948879241943
PROMEDIO,160869.6102897882,238720.01597480255,0.8467093507448832,0.7362679839134216
