Target,RMSE_Train,RMSE_Test,R2_Train,R2_Test
M_0,33959.83459160395,353529.75476526615,0.9998971208118694,0.9902068083466827
M_1c,44900.12576090673,196547.2818125754,0.9702953752820368,0.523881361475522
M_1s,45467.00559560253,193405.4233013086,0.9704799629625992,0.5510816259104163
PROMEDIO,41442.3219827044,247827.48662638338,0.9802241530188351,0.6883899319108737
