Target,MAE_Train,MAE_Test,RMSE_Train,RMSE_Test,R2_Train,R2_Test
M_0,0.07481199502944946,0.09260194003582001,0.09750315586967563,0.13172045700940105,0.99049311876297,0.9847601056098938
M_1c,0.31394457817077637,0.48456689715385437,0.4357047201246776,0.7108698802271955,0.8101613521575928,0.5772998332977295
M_1s,0.30272987484931946,0.4770471155643463,0.41793259794093757,0.7072189250576849,0.8253322839736938,0.5796474814414978
