Blade,RMSE_Train,RMSE_Test,R2_Train,R2_Test
M_0,516193.8478672523,619983.9849286431,0.9762303829193115,0.969881534576416
M_1c,210407.7066269199,227586.96061066416,0.3476927876472473,0.361625075340271
M_1s,209222.9695994204,226991.8325226703,0.37490952014923096,0.3816269040107727
PROMEDIO,311941.50803119753,358187.59268732584,0.5662775635719299,0.5710445046424866
